title,authors,year,description,url,citations
"[BOOK][B] Tilapia: biology, culture, and nutrition","CD Webster, C Lim",2024,"Learn to maximize tilapia production in different areas around the world Tilapia is the second-most 
cultured fish species in the world, and its production is increasing each year. However…",https://books.google.com/books?hl=en&lr=&id=WosoEQAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=5KzCrju3Ai&sig=MvJWT0D55TtEiiQTjIk-hItARzo,330
[BOOK][B] A short guide to writing about biology,JA Pechenik,2024,"… ) in biology. In the first chapter, I emphasize the benefits of learning to write well in biology, … 
However, they can learn much—both about biology and about communicating their thoughts…",https://books.google.com/books?hl=en&lr=&id=g5M4EQAAQBAJ&oi=fnd&pg=PR1&dq=biology&ots=yUeMX3IO-f&sig=BSCFg7GU_Ynibgu3trj4ehUPWOw,182
Spatiotemporal omics for biology and medicine,"L Liu, A Chen, Y Li, J Mulder, H Heyn, X Xu",2024,"The completion of the Human Genome Project has provided a foundational blueprint for 
understanding human life. Nonetheless, understanding the intricate mechanisms through which …",https://www.cell.com/cell/abstract/S0092-8674(24)00834-1,24
"Applying interpretable machine learning in computational biology—pitfalls, recommendations and opportunities for new developments","V Chen, M Yang, W Cui, JS Kim, A Talwalkar, J Ma",2024,"… the landscape of computational biology, with the integration … in other domains such as 
computational biology—have further … prominence within computational biology research across a …",https://www.nature.com/articles/s41592-024-02359-7,13
Biology,"WL Shelton, TJ Popma",2024,"… Most fish culture literature follows the taxonomic classification of Trewavas, and here we 
use the three genera in deference to the biology of the group. According to Trewavas (1983), …",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003578482-1/biology-william-shelton-thomas-popma,11
"[BOOK][B] The biology of mosquitoes, Volume 1: Development, nutrition and reproduction",AN Clements,2023,"This book chapter is concerned with the more functional aspects of mosquito genetics. It 
contains information on mosquito chromosomes and the molecular characteristics of the genome…",https://www.cabidigitallibrary.org/doi/abs/10.1079/9780851993744.0001,2807
"[HTML][HTML] SARS-CoV-2 variant biology: immune escape, transmission and fitness","AM Carabelli, TP Peacock, LG Thorne",2023,"In late 2020, after circulating for almost a year in the human population, severe acute respiratory 
syndrome coronavirus 2 (SARS-CoV-2) exhibited a major step change in its adaptation …",https://www.nature.com/articles/s41579-022-00841-7/1000,1047
[BOOK][B] A functional biology of sticklebacks,RJ Woolton,2023,"… Biology Series has allowed me to combine two of my major academic interests, research on 
the biology … framework in ecology and evolutionary biology that has been developed, much …",https://books.google.com/books?hl=en&lr=&id=lmvfEAAAQBAJ&oi=fnd&pg=PP9&dq=biology&ots=ZkTB_DV-C-&sig=HEKSn4KmRRGO-CLl5iosB0XYZtI,782
Transfer learning enables predictions in network biology,"CV Theodoris, L Xiao, A Chopra, MD Chaffin",2023,"Mapping gene networks requires large amounts of transcriptomic data to learn the connections 
between genes, which impedes discoveries in settings with limited data, including rare …",https://www.nature.com/articles/s41586-023-06139-9,444
Deciphering breast cancer: from biology to the clinic,"E Nolan, GJ Lindeman, JE Visvader",2023,"Breast cancer remains a leading cause of cancer-related mortality in women, reflecting 
profound disease heterogeneity, metastasis, and therapeutic resistance. Over the last decade, …",https://www.cell.com/cell/fulltext/S0092-8674(23)00099-5?dgcid=raven_jbs_aip_email&__cf_chl_rt_tk=JNcqg8808r0ISAFUqUMuCn7qRMag1wUP8Vo_Tu5PWD0-1679065428-0-gaNycGzNChA,332
Tissue-specific macrophages: how they develop and choreograph tissue biology,"E Mass, F Nimmerjahn, K Kierdorf",2023,"… biology approaches, these methodologies have changed our view of macrophage biology … 
in improving our knowledge of macrophage biology and emphasize strategies that should be …",https://www.nature.com/articles/s41577-023-00848-y,322
The biology of TREM receptors,M Colonna,2023,"… in humans and mice and discuss the challenges that remain in understanding TREM 
biology. … Finally, I summarize the challenges that remain in understanding TREM biology and …",https://www.nature.com/articles/s41577-023-00837-1,169
[BOOK][B] Algorithms in structural molecular biology,BR Donald,2023,"… structural biology … biology problems such as protein engineering. This book explains the 
algorithmic foundations and computational approaches underlying areas of structural biology …",https://books.google.com/books?hl=en&lr=&id=c3LFEAAAQBAJ&oi=fnd&pg=PR23&dq=biology&ots=L9JEaatohN&sig=udoxw5mGmR1e_g4QqhPRbE2MNtQ,155
Can we predict T cell specificity with digital biology and machine learning?,"D Hudson, RA Fernandes, M Basham, G Ogg",2023,"Recent advances in machine learning and experimental biology have offered breakthrough 
solutions to problems such as protein structure prediction that were long thought to be …",https://www.nature.com/articles/s41577-023-00835-3,123
[BOOK][B] A history of biology,M Morange,2023,"A comprehensive history of the biological sciences from antiquity to the modern era This book 
presents a global history of the biological sciences from ancient times to today, providing …",https://books.google.com/books?hl=en&lr=&id=yGquEAAAQBAJ&oi=fnd&pg=PR15&dq=biology&ots=JtT0h--G5R&sig=vhTGiIyULgB-zwKKPW43hhkkbN8,23
[BOOK][B] Cell Biology E-Book: Cell Biology E-Book,"TD Pollard, WC Earnshaw, J Lippincott",2022,"Reader-friendly Cell Biology, 4th Edition, provides a concise but comprehensive foundation 
for students entering research or health care career paths. Award winning illustrations help …",https://books.google.com/books?hl=en&lr=&id=mXiiEAAAQBAJ&oi=fnd&pg=PP1&dq=biology&ots=8O3PrIXzVk&sig=GAz-seIWw7ZnMVTIXAdfcH6xEF4,1057
