title,authors,year,description,url,citations
[BOOK][B] The next convergence: The future of economic growth in a multispeed world,M Spence,2024,"… and on the sustainability of emerging economy growth post crisis. Bob Solow, the creator 
of modern growth theory, was the other academic on the growth commission, and the most …",https://books.google.com/books?hl=en&lr=&id=OrnTFLubcMYC&oi=fnd&pg=PR9&dq=economic+growth&ots=2fPU8JhAbk&sig=_ZhdquoJUqVEB-SUt7tik4_eP30,753
Entrepreneurs and their impact on jobs and economic growth,AS Kritikos,2024,"… growth, whether replicative entrepreneurs (see Different types of entrepreneurs) have a 
measurable effect on economic growth … question why some firms grow more strongly than others. …",https://wol.iza.org/articles/entrepreneurs-and-their-impact-on-jobs-and-economic-growth/long,480
The future of international construction: secular patterns of growth and decline,R Bon,2024,"… various stages of economic growth and development, it … economic growth. Although the 
construction technology is shifting towards the service sector, the new engine of economic growth…",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003580898-22/future-international-construction-secular-patterns-growth-decline-ranko-bon,312
Entrepreneurship and economic growth,"I Munyo, L Veiga",2024,"… Monitor, GEM) affect the economic activity in a given country (as … GDP growth considers that 
a relevant part of economic growth is … between intrapreneurial activity and economic growth. …",https://link.springer.com/article/10.1007/s13132-022-01032-8,33
Does collaboration matter: the effect of university-industry R&D collaboration on economic growth,"T Togoontumur, NS Cooray",2024,"… We hypothesize that countries of all income levels can produce economic growth by 
developing university-industry collaboration, which affects economic output through human capital …",https://link.springer.com/article/10.1007/s13132-023-01469-5,8
[BOOK][B] The knowledge capital of nations: Education and the economics of growth,"EA Hanushek, L Woessmann",2023,"… Although many factors enter into a nation's economic growth, we conclude that the cognitive 
skills of the population are the most essential to long-run prosperity. These skills, which in …",https://books.google.com/books?hl=en&lr=&id=dvrKEAAAQBAJ&oi=fnd&pg=PA1&dq=economic+growth&ots=cZ4cH89a1D&sig=wy3P0SGRjrsE5dSlN8sQsB69zlQ,1092
"The effect of population aging on economic growth, the labor force, and productivity","N Maestas, KJ Mullen, D Powell",2023,"… effect of population aging on medium-run economic growth. To understand the channels 
through which population aging reduces economic growth, we decompose GDP per capita into …",https://www.aeaweb.org/articles?id=10.1257/mac.20190196,782
"[HTML][HTML] The dynamic nexus between economic growth, renewable energy use, urbanization, industrialization, tourism, agricultural productivity, forest area, and …",A Raihan,2023,"… economy and population, is contingent heavily on fossil fuels. The use of fossil fuel energy is 
intensifying because of brisk economic growth … if the Philippines' economic advancement is …",https://www.sciencedirect.com/science/article/pii/S2772427123000104,229
The impact of population growth on the country's economic development,B Khursanaliev,2023,"… Most of the literature reviewed in this article supports the view that population growth is 
an important factor in overall economic growth and can even contribute to per capita output …",https://www.herald.kokanduni.uz/index.php/public_html/article/view/236,115
"Does sustainable environmental agenda matter? The role of globalization toward energy consumption, economic growth, and carbon dioxide emissions in South …","M Sadiq, D Kannaiah, G Yahya Khan",2023,"… model, such as whether an economy can achieve economic growth without worsening 
the … economic growth. Prior empirical and theoretical studies have discussed the energy–growth–…",https://link.springer.com/article/10.1007/s10668-021-02043-2,114
