title,authors,year,description,url,citations,clean_title,type,cluster,word_count,char_count,category,domain,publisher,path,query_params,doi,extension
"Capital: Critique of Political Economy, Volume 1",K Marx,2024,"Karl Marx (1818–1883) was living in exile in England when he embarked on an ambitious, 
multivolume critique of the capitalist system of production. Though only the first volume saw …",https://www.degruyter.com/document/doi/10.1515/9780691240466/html,24952,capital critique political volume 1,BOOK,2,5,31,economy,degruyter.com,De Gruyter,/document/doi/10.1515/9780691240466/html,{},10.1515/9780691240466/,
Existence of an equilibrium for a competitive economy,"KJ Arrow, G Debreu",2024,"… In this section, a model of a competitive economy will be described, and certain … consumption 
units in the economy. The notion of equilibrium for such an economy will he defined, and a …",https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003547990-14&type=chapterpdf,8883,existence equilibrium competitive,,3,3,31,economy,api.taylorfrancis.com,Taylor & Francis,/content/chapters/edit/download,"{'identifierName': ['doi'], 'identifierValue': ['10.4324/9781003547990-14'], 'type': ['chapterpdf']}",,
The principles of political economy,JS Mill,2024,"… from The Principles of Political Economy … Economy, with Some of their Application to 
Social Philosophy, fifth edition, 2 … The question is so purely verbal as to be scarcely worth …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003550396-2/principles-political-economy-john-stuart-mill,7982,principles political,,2,2,19,economy,taylorfrancis.com,Taylor & Francis,/chapters/edit/10.4324/9781003550396-2/principles-political-economy-john-stuart-mill,{},10.4324/9781003550396,
Global political economy: Evolution and dynamics,"R O'brien, M Williams",2024,"… traditional elements of the global economy (such as trade and … chapter on race in the global 
economy, in dialogue with the … economy, examining the interactions between the economy …",https://books.google.com/books?hl=en&lr=&id=37soEQAAQBAJ&oi=fnd&pg=PP1&dq=economy&ots=mMMXBmSvNv&sig=aVD-KZT_FxT6qVUK84t_UFGjPfA,1025,global political evolution dynamics,BOOK,4,4,32,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['37soEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['economy'], 'ots': ['mMMXBmSvNv'], 'sig': ['aVD-KZT_FxT6qVUK84t_UFGjPfA']}",,
Economy and Interest: A New Presentation of the Fundamental Problems Related to the Economic Role of the Rate of Interest and Their Solutions,M Allais,2024,"… Since Adam Smith developed a verbal theory of how the economy worked, economists have 
… Economy and Interest is the milestone translation of Allais's most influential and acclaimed …",https://books.google.com/books?hl=en&lr=&id=HsEXEQAAQBAJ&oi=fnd&pg=PR7&dq=economy&ots=W6w6VIwcA3&sig=ehH5M0xZQ3olWMPofTGoQK_QD24,974,interest new presentation fundamental problems related economic role rate interest solutions,BOOK,8,11,82,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['HsEXEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR7'], 'dq': ['economy'], 'ots': ['W6w6VIwcA3'], 'sig': ['ehH5M0xZQ3olWMPofTGoQK_QD24']}",,
Principles of political economy considered with a view to their practical application,TR Malthus,2024,"It was not, however, till after long meditation, and the most careful consideration of the subject, 
that he finally adopted the measure proposed by the author of the Inquiry into the Wealth …",https://books.google.com/books?hl=en&lr=&id=TSEpEQAAQBAJ&oi=fnd&pg=PA21&dq=economy&ots=XCqFRnqxd3&sig=4odtoeHNzlNZcJlActWmFmX-CVI,485,principles political considered view practical application,BOOK,2,6,53,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['TSEpEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA21'], 'dq': ['economy'], 'ots': ['XCqFRnqxd3'], 'sig': ['4odtoeHNzlNZcJlActWmFmX-CVI']}",,
Statement of some new principles on the subject of political economy,J Rae,2024,"… Nevertheless, he operated in intellectual isolation and as far as political economy was 
concerned, he was largely self-taught. … This decision was also influenced by his view that there …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003547686-8/statement-new-principles-subject-political-economy-john-rae,434,statement new principles subject political,,2,5,38,economy,taylorfrancis.com,Taylor & Francis,/chapters/edit/10.4324/9781003547686-8/statement-new-principles-subject-political-economy-john-rae,{},10.4324/9781003547686,
Down and out in the new economy: How people find (or don't find) work today,I Gershon,2024,"What does it mean to market yourself as a business in today's job search world? Finding a 
job used to be simple. Now... well, it’s complicated. In today’s economy, you can’t just be an …",https://books.google.com/books?hl=en&lr=&id=lV8DEQAAQBAJ&oi=fnd&pg=PT7&dq=economy&ots=IZCTwcTr1j&sig=gb6komHNNzpqe9YY7YObWA9jxBE,403,new people find dont find work today,BOOK,9,7,30,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['lV8DEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PT7'], 'dq': ['economy'], 'ots': ['IZCTwcTr1j'], 'sig': ['gb6komHNNzpqe9YY7YObWA9jxBE']}",,
Political economy,FA Walker,2024,"The principal objects of this series are to supply the lack-in some subjects very great-of 
authoritative books whose principles are, so far as practicable, illustrated by familiar American …",https://books.google.com/books?hl=en&lr=&id=D8v3EAAAQBAJ&oi=fnd&pg=PA1&dq=economy&ots=8hSMmtAXIP&sig=bLSW9qo7Tw35A7Px02_cigXBP7M,284,political,BOOK,2,1,9,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['D8v3EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PA1'], 'dq': ['economy'], 'ots': ['8hSMmtAXIP'], 'sig': ['bLSW9qo7Tw35A7Px02_cigXBP7M']}",,
The Bulgarian Economy: In the Twentieth Century,JR Lampe,2024,"First published in 1986, The Bulgarian Economy (now with a new preface by the author) traces 
the rapid growth of the Bulgarian economy throughout the twentieth century. It also notes …",https://books.google.com/books?hl=en&lr=&id=deoyEQAAQBAJ&oi=fnd&pg=PP12&dq=economy&ots=l4-YQgFo7X&sig=N8knh0eM1B7bZhJ7PH2ZO8-PW5w,238,bulgarian twentieth century,BOOK,3,3,25,economy,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['deoyEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP12'], 'dq': ['economy'], 'ots': ['l4-YQgFo7X'], 'sig': ['N8knh0eM1B7bZhJ7PH2ZO8-PW5w']}",,
