title,authors,year,description,url,citations
[BOOK][B] Health measurement scales: a practical guide to their development and use,"DL Streiner, GR Norman, J Cairney",2024,"… The intent of this book is to introduce researchers in health … of interest to researchers in health 
sciences— subjective states… are drawn from the literature in health sciences. Finally, some …",https://books.google.com/books?hl=en&lr=&id=pb30EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=TONDrj8BPT&sig=hdPqulq6ZL7lL4vQSkjDPrCUjMs,21116
[BOOK][B] An occupational perspective of health,"A Wilcock, C Hocking",2024,"… health are both biological in origin and related to human activity; health outcomes capture the 
benefits and insults to health … and occupations that lead to health inequities are avoidable, …",https://books.google.com/books?hl=en&lr=&id=uZ4LEQAAQBAJ&oi=fnd&pg=PT6&dq=health&ots=-59MA2i2ag&sig=dALcF5on8RMELyuPAfagdrCDCOI,3129
[BOOK][B] The economics of health and health care,"S Folland, AC Goodman, M Stano, S Danagoulian",2024,"… new chapters: Disparities in Health and Health Care (Chapter 7) … respect to health care 
access, health inputs, and health outcomes… in health economics, health policy, and public health. …",https://www.taylorfrancis.com/books/mono/10.4324/9781003308409/economics-health-health-care-sherman-folland-allen-goodman-miron-stano-shooshan-danagoulian,2531
[BOOK][B] Epidemiology and the people's health: theory and context,N Krieger,2024,"… of Health, 2012), social inequalities in health are discussed solely in the scant 46 pages (6.2%) 
allotted to Minority Health and Health … “social determinants of health” and “discrimination” …",https://books.google.com/books?hl=en&lr=&id=qe78EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=P6Xv1kdxpq&sig=Zs54VuiJJXJKAaz0Rui14oIhRmw,1406
"[BOOK][B] Health inequality: an introduction to concepts, theories and methods","M Bartley, M Kelly",2024,"… Gender inequalities in health Macrolevel factors … Health Inequality What is meant by ‘race’ 
or ‘ethnicity’? Ethnicity, biology and health How great are ethnic or racial differences in health? …",https://books.google.com/books?hl=en&lr=&id=YfsvEQAAQBAJ&oi=fnd&pg=PT1&dq=health&ots=-L6C8Bm1aM&sig=Xe7tkh4r263t8Z1IfduAXkEP8wc,1216
[BOOK][B] Handbook of occupational health psychology,"LE Tetrick, GG Fisher, MT Ford, JCE Quick",2024,"Since the second edition of the Handbook of Occupational Health Psychology was published 
in 2011, there are many profound ways in which work and workers' experiences have …",https://psycnet.apa.org/books/TOC/17342,622
[BOOK][B] World malaria report 2023,World Health Organization,2023,"… If you create a translation of this work, you should add the following disclaimer along with 
the suggested citation: “This translation was not created by the World Health Organization (WHO) …",https://books.google.com/books?hl=en&lr=&id=u6UOEQAAQBAJ&oi=fnd&pg=PR6&dq=health&ots=cvpQd4Iqkg&sig=ogCE7HEQ8vnaKG8i045ou_0GQkU,14633
[PDF][PDF] World Health Organization WHO Regional websites,W Pacific,2023,"The World Health Organization has granted translation and publication rights for an edition 
in Finnish to the Finnish Association for Mental Health, which is solely responsible for the …",https://apps.who.int/iris/bitstream/handle/10665/131056/?sequence=1,5827
[BOOK][B] Health and deprivation: inequality and the North,"P Townsend, P Phillimore, A Beattie",2023,"When originally published in 1988, this book presented new evidence of inequalities in 
health found among communities in different areas of the North of England. It relates this …",https://www.taylorfrancis.com/books/mono/10.4324/9781003368885/health-deprivation-peter-townsend-peter-phillimore-alastair-beattie,3229
"ChatGPT utility in healthcare education, research, and practice: systematic review on the promising perspectives and valid concerns",M Sallam,2023,"… This is related to the massive information and various concepts that health care students are 
… in health care education, academic/scientific writing, health care research, and health care …",https://www.mdpi.com/2227-9032/11/6/887,2114
"[BOOK][B] Making Health Policy, 3e","K Buse, N Mays, M Colombini, A Fraser, M Khan",2023,"… concerns and perspectives of public health at the heart of … health: protecting the public 
from environmental hazards, improving the health of the public and ensuring high-quality health …",https://books.google.com/books?hl=en&lr=&id=OgHVEAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=l5TbwwFRRS&sig=sAIbWFlTckRLMRDUAVdprM6ce78,1517
[PDF][PDF] World Health Organization WHO Regional websites,W Pacific,2023,"The eighty-ninth session of the Executive Board was held at WHO headquarters, Geneva, 
from 20 to 28 January 1992. The proceedings are published in two volumes. The present …",https://apps.who.int/iris/bitstream/handle/10665/170778/EB89_1992-REC-1_eng.pdf?sequence=1,1074
The impact of COVID-19 lockdown on child and adolescent mental health: systematic review,"U Panchal, G Salazar de Pablo, M Franco",2023,"… We included individual studies reporting on a wide range of mental health outcomes, … 
previous or current mental health difficulties. Supporting the mental health needs of children and …",https://link.springer.com/article/10.1007/s00787-021-01856-w,985
[BOOK][B] Physical Examination and Health Assessment-Canadian E-Book: Physical Examination and Health Assessment-Canadian E-Book,C Jarvis,2023,"… She has expertise in the planning and delivery of health … experience health and social 
inequities in public health services. … to primary health care, health system integration, and health-…",https://books.google.com/books?hl=en&lr=&id=IWy1EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=7FVV-hp098&sig=SIQc2iXaZW5C_F-WDBEOOR_K92o,764
"COVID-19 and employees' mental health: stressors, moderators and agenda for organizational actions",S Hamouche,2023,"… health. Due to the paucity of studies on the COVID-19 impact on employees’ mental health, 
… of COVID-19 on individual’s mental health. Stressors include perception of safety, threat and …",https://www.emerald.com/insight/content/doi/10.1108/EOR-02-2023-0004/full/html,715
[BOOK][B] A history of the mental health services,K Jones,2023,"… Health and Social Policy, rewriting the material from the end of the Second World War to the 
passing of the Mental Health … mental health, sociology, social policy, health policy and law. …",https://books.google.com/books?hl=en&lr=&id=7LjLEAAAQBAJ&oi=fnd&pg=PT8&dq=health&ots=16SIovcynw&sig=lkms7EuyOKA_USe1lZOUD0SceMo,666
[HTML][HTML] The safety of inpatient health care,"DW Bates, DM Levine, H Salmasian",2023,"… the incidence of health care–associated infections. However, in contrast to health care–associated … 
Many aspects of health care have changed since the HMPS. For example, electronic …",https://www.nejm.org/doi/full/10.1056/NEJMsa2206117,259
[BOOK][B] Guidelines for drinking-water quality: incorporating the first and second addenda,World Health Organization,2022,"The fourth edition incorporating the first and second addenda, of the World Health 
Organization's (WHO) Guidelines for drinking-water quality (GDWQ) builds on over 60 years of …",https://books.google.com/books?hl=en&lr=&id=x3RyEAAAQBAJ&oi=fnd&pg=PR3&dq=health&ots=73WghqLXe6&sig=smB0YB8Ei3daVSyKmeh76dlP800,14129
"Standards of care for the health of transgender and gender diverse people, version 8","E Coleman, AE Radix, WP Bouman",2022,"… health care needs of TGD people globally. While adaptable, they offer standards for promoting 
optimal health … are clinical guidelines; individual health care professionals and programs …",https://www.tandfonline.com/doi/abs/10.1080/26895269.2022.2100644,1931
AI in health and medicine,"P Rajpurkar, E Chen, O Banerjee, EJ Topol",2022,"Artificial intelligence (AI) is poised to broadly reshape medicine, potentially improving the 
experiences of both clinicians and patients. We discuss key findings from a 2-year weekly effort …",https://www.nature.com/articles/s41591-021-01614-0,1820
"[BOOK][B] Updated recommendations on treatment of adolescents and children with chronic HCV infection, and HCV simplified service delivery and HCV diagnostics",World Health Organization,2022,"… If you create a translation of this work, you should add the following disclaimer along with the 
suggested citation: “This translation was not created by the World Health Organization (WHO) …",https://books.google.com/books?hl=en&lr=&id=eHoOEQAAQBAJ&oi=fnd&pg=PR6&dq=health&ots=r0vrYv2pap&sig=qWmxLyYOIOjTEFmajEcMrHhTy68,1711
[HTML][HTML] Microbiota in health and diseases,"K Hou, ZX Wu, XY Chen, JQ Wang, D Zhang",2022,"… In the current review, we mainly focus on the function of microbiota in human health and … 
Gut microbiota is considered the most significant one in maintaining our health. The gut bacteria …",https://www.nature.com/articles/s41392-022-00974-4/1000,1697
[BOOK][B] World mental health report: Transforming mental health for all,World Health Organization,2022,"… Mental health is a lot more than the absence of illness: it is an intrinsic part of our 
individual and collective health and well-being. As this report shows, to achieve the global …",https://books.google.com/books?hl=en&lr=&id=lnkOEQAAQBAJ&oi=fnd&pg=PR10&dq=health&ots=TThXRLPw0i&sig=EsbfcCpp0g2mt9IpP9oIgv3xMz0,1595
"[BOOK][B] WHO consultation to adapt influenza sentinel surveillance systems to include COVID-19 virological surveillance: virtual meeting, 6–8 October 2020",World Health Organization,2022,"… If you create a translation of this work, you should add the following disclaimer along with 
the suggested citation: “This translation was not created by the World Health Organization (WHO) …",https://books.google.com/books?hl=en&lr=&id=5nkOEQAAQBAJ&oi=fnd&pg=PP4&dq=health&ots=XgMkaovnZh&sig=Z0YHtaUI1NRgVfb7_bRA3hapdbY,1581
Life's essential 8: updating and enhancing the American Heart Association's construct of cardiovascular health: a presidential advisory from the American Heart …,DM Lloyd,2022,"… health and psychological health were addressed as crucial factors in optimizing and preserving 
cardiovascular health. … an enhanced approach to assessing cardiovascular health: Life’s …",https://www.ahajournals.org/doi/abs/10.1161/cir.0000000000001078,1484
[HTML][HTML] Pollution and health: a progress update,"R Fuller, PJ Landrigan, K Balakrishnan",2022,"The Lancet Commission on pollution and health reported that pollution was responsible for 
9 million premature deaths in 2015, making it the world's largest environmental risk factor for …",https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(22)00090-0/fulltext?ref=drilledpodcast.com,1470
"[BOOK][B] Planning, implementing and evaluating health promotion programs","JF McKenzie, BL Neiger, R Thackeray",2022,"… While we distinguish between health education and health promotion in theory, it may be … 
of health promotion without engaging in health education? Conversely, health education is …",https://books.google.com/books?hl=en&lr=&id=2Bh1EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=U3soWsITdt&sig=nXIwJ7SIj0l3eca0_Az9mphwo6g,1397
Consolidated Health Economic Evaluation Reporting Standards 2022 (CHEERS 2022) statement: updated reporting guidance for health economic evaluations,"D Husereau, M Drummond",2022,"… As there is an increasing need for clarity of information to support healthcare decision 
making and attention to healthcare expenditure, we anticipate the role of published health …",https://journals.sagepub.com/doi/abs/10.1177/23814683211061097,1388
