title,authors,year,description,url,citations
"[BOOK][B] Tilapia: biology, culture, and nutrition","CD Webster, C Lim",2024,"Learn to maximize tilapia production in different areas around the world Tilapia is the second-most 
cultured fish species in the world, and its production is increasing each year. However…",https://books.google.com/books?hl=en&lr=&id=WosoEQAAQBAJ&oi=fnd&pg=PP1&dq=nutrition&ots=5KzCrjw8zk&sig=3eoTiu0aIHRy7TKW9cS-2womeGE,330
The role of nutrition in crop resistance and tolerance to diseases,"DM Huber, RD Graham",2024,"… Mineral nutrition is one of the basic plant processes impaired by disease. Pathogens alter 
the nutrition of the plant in diverse ways that are reflected in the symptoms of disease. Some …",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003578468-7/role-nutrition-crop-resistance-tolerance-diseases-huber-robin-graham,311
The State of Food Security and Nutrition in the World 2024,Unicef,2024,"… The indicators of progress towards global nutrition targets similarly show that … nutrition. 
Despite a broad agreement on the urgent need to increase financing for food security and nutrition…",https://openknowledge.fao.org/items/09ed8fec-480e-4432-832c-5b56c672ed92,296
[PDF][PDF] Optimizing Immune Health in HIV Patients through Nutrition: A Review,"EI Obeagu, GU Obeagu, CB Okwuanaso",2024,"… interplay between nutrition and immune health in the context of HIV. We examine the nutritional 
… In conclusion, this review underscores the pivotal role of nutrition in enhancing immune …",https://kiu.ac.ug/assets/publications/1589_optimizing-immune-health-in-hiv-patients-through-nutrition-a-review.pdf,128
[BOOK][B] Protein nutrition and mineral absorption,RA Wapnir,2024,"This volume presents information regarding the mechanisms of protein absorption under 
normal and pathologic conditions, in addition to reviewing changes that occur at various stages …",https://books.google.com/books?hl=en&lr=&id=CCY2EQAAQBAJ&oi=fnd&pg=PP1&dq=nutrition&ots=yvGdXv9tdY&sig=2cp0cIzfL5zgY_M-RzuDmdvvmOA,127
[HTML][HTML] The role of Nutrition on thyroid function,"AM Shulhai, R Rotondo, M Petraroli, V Patianna",2024,"… to nutrition through the diet–gut–thyroid axis. This narrative review highlights the influence 
of nutritional … Nutritional imbalance can lead to thyroid dysfunction and/or disorders, such as …",https://www.mdpi.com/2072-6643/16/15/2496?ref=thyroidaid.org,12
Nutrition and dietary restrictions in cancer prevention,"A Mishra, G Giuliani, VD Longo",2024,"The composition and pattern of dietary intake have emerged as key factors influencing aging, 
regeneration, and consequently, healthspan and lifespan. Cancer is one of the major …",https://www.sciencedirect.com/science/article/pii/S0304419X23002123,12
[BOOK][B] Essentials of human nutrition,"J Mann, S Truswell, L Hodson",2023,"… for those embarking on courses in nutrition, or related subjects, … of the essential principles 
of nutrition. Key Features BL Chapters … BL The text explains the impact of nutritional principles …",https://books.google.com/books?hl=en&lr=&id=y0DREAAAQBAJ&oi=fnd&pg=PP1&dq=nutrition&ots=VUGj9zkmyN&sig=DSi5ik6S6H2ih3QMAGDcZ7Of4T0,672
[BOOK][B] Human nutrition,"C Geissler, HJ Powers",2023,"The most complete review of human nutrition, ideal for those looking for a deeper grounding 
in the subject before pursuing a career in the discipline. Selling Points:· Features chapters …",https://books.google.com/books?hl=en&lr=&id=qF3QEAAAQBAJ&oi=fnd&pg=PP1&dq=nutrition&ots=S5qT4lTUBt&sig=snx3bsbxdpPLnvHDIOA-0Emnf-I,380
Enteral nutrition in preterm infants (2022): a position paper from the ESPGHAN committee on nutrition and invited experts,"ND Embleton, SJ Moltu, A Lapillonne",2023,"Objectives: To review the current literature and develop consensus conclusions and 
recommendations on nutrient intakes and nutritional practice in preterm infants with birthweight< …",https://journals.lww.com/jpgn/fulltext/2023/02000/Enteral_Nutrition_in_Preterm_Infants__2022___A.23.aspx,244
