title,authors,year,description,url,citations,cluster,type,clean_title,word_count,char_count,category,domain,publisher,path,query_params,doi,extension
bookb health measurement scales practical guide development use,"DL Streiner, GR Norman, J Cairney",2024.0,"… The intent of this book is to introduce researchers in health … of interest to researchers in health 
sciences— subjective states… are drawn from the literature in health sciences. Finally, some …",https://books.google.com/books?hl=en&lr=&id=pb30EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=TONDrj8BPT&sig=hdPqulq6ZL7lL4vQSkjDPrCUjMs,21116,1,BOOK,Health measurement scales: a practical guide to their development and use,11,63,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['pb30EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['health'], 'ots': ['TONDrj8BPT'], 'sig': ['hdPqulq6ZL7lL4vQSkjDPrCUjMs']}",,
bookb occupational perspective health,"A Wilcock, C Hocking",2024.0,"… health are both biological in origin and related to human activity; health outcomes capture the 
benefits and insults to health … and occupations that lead to health inequities are avoidable, …",https://books.google.com/books?hl=en&lr=&id=uZ4LEQAAQBAJ&oi=fnd&pg=PT6&dq=health&ots=-59MA2i2ag&sig=dALcF5on8RMELyuPAfagdrCDCOI,3129,1,BOOK,An occupational perspective of health,5,33,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['uZ4LEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PT6'], 'dq': ['health'], 'ots': ['-59MA2i2ag'], 'sig': ['dALcF5on8RMELyuPAfagdrCDCOI']}",,
bookb economics health health care,"S Folland, AC Goodman, M Stano, S Danagoulian",2024.0,"… new chapters: Disparities in Health and Health Care (Chapter 7) … respect to health care 
access, health inputs, and health outcomes… in health economics, health policy, and public health. …",https://www.taylorfrancis.com/books/mono/10.4324/9781003308409/economics-health-health-care-sherman-folland-allen-goodman-miron-stano-shooshan-danagoulian,2531,1,BOOK,The economics of health and health care,7,33,health,taylorfrancis.com,Taylor & Francis,/books/mono/10.4324/9781003308409/economics-health-health-care-sherman-folland-allen-goodman-miron-stano-shooshan-danagoulian,{},10.4324/9781003308409/,
bookb epidemiology peoples health theory context,N Krieger,2024.0,"… of Health, 2012), social inequalities in health are discussed solely in the scant 46 pages (6.2%) 
allotted to Minority Health and Health … “social determinants of health” and “discrimination” …",https://books.google.com/books?hl=en&lr=&id=qe78EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=P6Xv1kdxpq&sig=Zs54VuiJJXJKAaz0Rui14oIhRmw,1406,1,BOOK,Epidemiology and the people's health: theory and context,8,49,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['qe78EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['health'], 'ots': ['P6Xv1kdxpq'], 'sig': ['Zs54VuiJJXJKAaz0Rui14oIhRmw']}",,
bookb health inequality introduction concepts theories methods,"M Bartley, M Kelly",2024.0,"… Gender inequalities in health Macrolevel factors … Health Inequality What is meant by ‘race’ 
or ‘ethnicity’? Ethnicity, biology and health How great are ethnic or racial differences in health? …",https://books.google.com/books?hl=en&lr=&id=YfsvEQAAQBAJ&oi=fnd&pg=PT1&dq=health&ots=-L6C8Bm1aM&sig=Xe7tkh4r263t8Z1IfduAXkEP8wc,1216,1,BOOK,"Health inequality: an introduction to concepts, theories and methods",9,60,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['YfsvEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PT1'], 'dq': ['health'], 'ots': ['-L6C8Bm1aM'], 'sig': ['Xe7tkh4r263t8Z1IfduAXkEP8wc']}",,
bookb handbook occupational health psychology,"LE Tetrick, GG Fisher, MT Ford, JCE Quick",2024.0,"Since the second edition of the Handbook of Occupational Health Psychology was published 
in 2011, there are many profound ways in which work and workers' experiences have …",https://psycnet.apa.org/books/TOC/17342,622,1,BOOK,Handbook of occupational health psychology,5,38,health,psycnet.apa.org,APA PsycNet,/books/TOC/17342,{},,
bookb world malaria report 2023,World Health Organization,2023.0,"… If you create a translation of this work, you should add the following disclaimer along with 
the suggested citation: “This translation was not created by the World Health Organization (WHO) …",https://books.google.com/books?hl=en&lr=&id=u6UOEQAAQBAJ&oi=fnd&pg=PR6&dq=health&ots=cvpQd4Iqkg&sig=ogCE7HEQ8vnaKG8i045ou_0GQkU,14633,2,BOOK,World malaria report 2023,4,22,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['u6UOEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR6'], 'dq': ['health'], 'ots': ['cvpQd4Iqkg'], 'sig': ['ogCE7HEQ8vnaKG8i045ou_0GQkU']}",,
pdfpdf world health organization regional websites,W Pacific,2023.0,"The World Health Organization has granted translation and publication rights for an edition 
in Finnish to the Finnish Association for Mental Health, which is solely responsible for the …",https://apps.who.int/iris/bitstream/handle/10665/131056/?sequence=1,5827,2,PDF,World Health Organization WHO Regional websites,6,42,health,apps.who.int,World Health Organization IRIS,/iris/bitstream/handle/10665/131056/,{'sequence': ['1']},,
bookb health deprivation inequality north,"P Townsend, P Phillimore, A Beattie",2023.0,"When originally published in 1988, this book presented new evidence of inequalities in 
health found among communities in different areas of the North of England. It relates this …",https://www.taylorfrancis.com/books/mono/10.4324/9781003368885/health-deprivation-peter-townsend-peter-phillimore-alastair-beattie,3229,1,BOOK,Health and deprivation: inequality and the North,7,42,health,taylorfrancis.com,Taylor & Francis,/books/mono/10.4324/9781003368885/health-deprivation-peter-townsend-peter-phillimore-alastair-beattie,{},10.4324/9781003368885/,
chatgpt utility healthcare education research practice systematic review promising perspectives valid concerns,M Sallam,2023.0,"… This is related to the massive information and various concepts that health care students are 
… in health care education, academic/scientific writing, health care research, and health care …",https://www.mdpi.com/2227-9032/11/6/887,2114,6,,"ChatGPT utility in healthcare education, research, and practice: systematic review on the promising perspectives and valid concerns",17,115,health,mdpi.com,MDPI (Multidisciplinary Digital Publishing Institute),/2227-9032/11/6/887,{},,
bookb making health policy 3e,"K Buse, N Mays, M Colombini, A Fraser, M Khan",2023.0,"… concerns and perspectives of public health at the heart of … health: protecting the public 
from environmental hazards, improving the health of the public and ensuring high-quality health …",https://books.google.com/books?hl=en&lr=&id=OgHVEAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=l5TbwwFRRS&sig=sAIbWFlTckRLMRDUAVdprM6ce78,1517,1,BOOK,"Making Health Policy, 3e",4,21,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['OgHVEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['health'], 'ots': ['l5TbwwFRRS'], 'sig': ['sAIbWFlTckRLMRDUAVdprM6ce78']}",,
pdfpdf world health organization regional websites,W Pacific,2023.0,"The eighty-ninth session of the Executive Board was held at WHO headquarters, Geneva, 
from 20 to 28 January 1992. The proceedings are published in two volumes. The present …",https://apps.who.int/iris/bitstream/handle/10665/170778/EB89_1992-REC-1_eng.pdf?sequence=1,1074,2,PDF,World Health Organization WHO Regional websites,6,42,health,apps.who.int,World Health Organization IRIS,/iris/bitstream/handle/10665/170778/EB89_1992-REC-1_eng.pdf,{'sequence': ['1']},,pdf
impact covid19 lockdown child adolescent mental health systematic review,"U Panchal, G Salazar de Pablo, M Franco",2023.0,"… We included individual studies reporting on a wide range of mental health outcomes, … 
previous or current mental health difficulties. Supporting the mental health needs of children and …",https://link.springer.com/article/10.1007/s00787-021-01856-w,985,6,,The impact of COVID-19 lockdown on child and adolescent mental health: systematic review,13,76,health,link.springer.com,Springer,/article/10.1007/s00787-021-01856-w,{},10.1007/s00787,
bookb physical examination health assessmentcanadian ebook physical examination health assessmentcanadian ebook,C Jarvis,2023.0,"… She has expertise in the planning and delivery of health … experience health and social 
inequities in public health services. … to primary health care, health system integration, and health-…",https://books.google.com/books?hl=en&lr=&id=IWy1EAAAQBAJ&oi=fnd&pg=PP1&dq=health&ots=7FVV-hp098&sig=SIQc2iXaZW5C_F-WDBEOOR_K92o,764,1,BOOK,Physical Examination and Health Assessment-Canadian E-Book: Physical Examination and Health Assessment-Canadian E-Book,12,107,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['IWy1EAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PP1'], 'dq': ['health'], 'ots': ['7FVV-hp098'], 'sig': ['SIQc2iXaZW5C_F-WDBEOOR_K92o']}",,
covid19 employees mental health stressors moderators agenda organizational actions,S Hamouche,2023.0,"… health. Due to the paucity of studies on the COVID-19 impact on employees’ mental health, 
… of COVID-19 on individual’s mental health. Stressors include perception of safety, threat and …",https://www.emerald.com/insight/content/doi/10.1108/EOR-02-2023-0004/full/html,715,0,,"COVID-19 and employees' mental health: stressors, moderators and agenda for organizational actions",12,87,health,emerald.com,Emerald Publishing,/insight/content/doi/10.1108/EOR-02-2023-0004/full/html,{},10.1108/EOR-02,
bookb history mental health services,K Jones,2023.0,"… Health and Social Policy, rewriting the material from the end of the Second World War to the 
passing of the Mental Health … mental health, sociology, social policy, health policy and law. …",https://books.google.com/books?hl=en&lr=&id=7LjLEAAAQBAJ&oi=fnd&pg=PT8&dq=health&ots=16SIovcynw&sig=lkms7EuyOKA_USe1lZOUD0SceMo,666,7,BOOK,A history of the mental health services,7,33,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['7LjLEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PT8'], 'dq': ['health'], 'ots': ['16SIovcynw'], 'sig': ['lkms7EuyOKA_USe1lZOUD0SceMo']}",,
htmlhtml safety inpatient health care,"DW Bates, DM Levine, H Salmasian",2023.0,"… the incidence of health care–associated infections. However, in contrast to health care–associated … 
Many aspects of health care have changed since the HMPS. For example, electronic …",https://www.nejm.org/doi/full/10.1056/NEJMsa2206117,259,1,HTML,The safety of inpatient health care,6,30,health,nejm.org,New England Journal of Medicine,/doi/full/10.1056/NEJMsa2206117,{},10.1056/NEJMsa2206117,
bookb guidelines drinkingwater quality incorporating first second addenda,World Health Organization,2022.0,"The fourth edition incorporating the first and second addenda, of the World Health 
Organization's (WHO) Guidelines for drinking-water quality (GDWQ) builds on over 60 years of …",https://books.google.com/books?hl=en&lr=&id=x3RyEAAAQBAJ&oi=fnd&pg=PR3&dq=health&ots=73WghqLXe6&sig=smB0YB8Ei3daVSyKmeh76dlP800,14129,7,BOOK,Guidelines for drinking-water quality: incorporating the first and second addenda,10,72,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['x3RyEAAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR3'], 'dq': ['health'], 'ots': ['73WghqLXe6'], 'sig': ['smB0YB8Ei3daVSyKmeh76dlP800']}",,
standards care health transgender gender diverse people version 8,"E Coleman, AE Radix, WP Bouman",2022.0,"… health care needs of TGD people globally. While adaptable, they offer standards for promoting 
optimal health … are clinical guidelines; individual health care professionals and programs …",https://www.tandfonline.com/doi/abs/10.1080/26895269.2022.2100644,1931,1,,"Standards of care for the health of transgender and gender diverse people, version 8",14,71,health,tandfonline.com,Taylor & Francis Online,/doi/abs/10.1080/26895269.2022.2100644,{},10.1080/26895269,2100644
ai health medicine,"P Rajpurkar, E Chen, O Banerjee, EJ Topol",2022.0,"Artificial intelligence (AI) is poised to broadly reshape medicine, potentially improving the 
experiences of both clinicians and patients. We discuss key findings from a 2-year weekly effort …",https://www.nature.com/articles/s41591-021-01614-0,1820,9,,AI in health and medicine,5,21,health,nature.com,Nature Publishing Group,/articles/s41591-021-01614-0,{},,
bookb updated recommendations treatment adolescents children chronic hcv infection hcv simplified service delivery hcv diagnostics,World Health Organization,2022.0,"… If you create a translation of this work, you should add the following disclaimer along with the 
suggested citation: “This translation was not created by the World Health Organization (WHO) …",https://books.google.com/books?hl=en&lr=&id=eHoOEQAAQBAJ&oi=fnd&pg=PR6&dq=health&ots=r0vrYv2pap&sig=qWmxLyYOIOjTEFmajEcMrHhTy68,1711,9,BOOK,"Updated recommendations on treatment of adolescents and children with chronic HCV infection, and HCV simplified service delivery and HCV diagnostics",20,129,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['eHoOEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR6'], 'dq': ['health'], 'ots': ['r0vrYv2pap'], 'sig': ['qWmxLyYOIOjTEFmajEcMrHhTy68']}",,
htmlhtml microbiota health diseases,"K Hou, ZX Wu, XY Chen, JQ Wang, D Zhang",2022.0,"… In the current review, we mainly focus on the function of microbiota in human health and … 
Gut microbiota is considered the most significant one in maintaining our health. The gut bacteria …",https://www.nature.com/articles/s41392-022-00974-4/1000,1697,3,HTML,Microbiota in health and diseases,5,29,health,nature.com,Nature Publishing Group,/articles/s41392-022-00974-4/1000,{},,
bookb world mental health report transforming mental health,World Health Organization,2022.0,"… Mental health is a lot more than the absence of illness: it is an intrinsic part of our 
individual and collective health and well-being. As this report shows, to achieve the global …",https://books.google.com/books?hl=en&lr=&id=lnkOEQAAQBAJ&oi=fnd&pg=PR10&dq=health&ots=TThXRLPw0i&sig=EsbfcCpp0g2mt9IpP9oIgv3xMz0,1595,7,BOOK,World mental health report: Transforming mental health for all,9,54,health,books.google.com,Google Books,/books,"{'hl': ['en'], 'id': ['lnkOEQAAQBAJ'], 'oi': ['fnd'], 'pg': ['PR10'], 'dq': ['health'], 'ots': ['TThXRLPw0i'], 'sig': ['EsbfcCpp0g2mt9IpP9oIgv3xMz0']}",,
